site_no,station_nm,latitude,longitude,state_cd,county_cd,huc_cd,huc_code,huc_region,drainage_area,site_type,active,basin,is_huc17,has_discharge
09269500,EAST FORK OF DRY FORK AT MOUTH NR DRY FORK,40.63328979,-109.7645918,UT,047,14060002,14060002,14,18.00,ST,Yes,Southwest,False,True
09270000,"DRY FORK BELOW SPRINGS NEAR DRY FORK, UTAH",40.56940199,-109.6976441,UT,047,14060002,14060002,14,97.40,ST,Yes,Southwest,False,True
09270500,"DRY FORK AT MOUTH NEAR DRY FORK, UTAH",40.5263475,-109.6056958,UT,047,14060002,14060002,14,115.00,ST,Yes,Southwest,False,True
09271000,"ASHLEY CR NR REMEMBER THE MAINE PARK NR VERNAL, UT",40.5141111,-109.5943694,UT,047,14060010,14060010,14,241.00,ST,Yes,Southwest,False,True
09271070,"HIGHLINE CANAL BL MANTLE GULCH NR JENSEN, UTAH",40.36690605,-109.5034685,UT,047,14060001,14060001,14,,ST,Yes,Southwest,False,True
09271400,"ASHLEY CREEK NEAR NAPLES, UT",40.43357206,-109.4662456,UT,047,14060002,14060002,14,,ST,Yes,Southwest,False,True
09271425,"ASHLEY CRK ABV RIV IRR PIPELINE NR NAPLES, UT",40.40657267,-109.4351054,UT,047,14060002,14060002,14,,ST,Yes,Southwest,False,True
09271450,"ASHLEY CREEK BL SADLIER DRAW, NEAR NAPLES, UT",40.39801727,-109.4295774,UT,047,14060002,14060002,14,,ST,Yes,Southwest,False,True
09271470,"RIVER IRRIGATION COMPANY CANAL NEAR JENSEN, UTAH",40.37857327,-109.4017985,UT,047,14060002,14060002,14,,ST,Yes,Southwest,False,True
09271500,"ASHLEY CREEK NEAR JENSEN, UTAH",40.37468439,-109.4081875,UT,047,14060002,14060002,14,383.00,ST,Yes,Southwest,False,True
09271550,"ASHLEY CREEK BEL UNION CANAL DIV NR JENSEN, UT",40.3580023,-109.3876546,UT,047,14060010,14060010,14,389,ST,Yes,Southwest,False,True
09272400,"GREEN RIVER AT OURAY, UTAH",40.0847972,-109.6758361,UT,047,14040106,14040106,14,31060,ST,Yes,Southwest,False,True
09272500,"DUCHESNE TUNNEL NEAR KAMAS, UTAH",40.59244518,-111.0026689,UT,051,16020203,16020203,16,,ST,Yes,Southwest,False,True
09273000,"DUCHESNE R AT PROVO R TRAIL NR HANNA, UTAH",40.62494547,-110.8896127,UT,013,14060003,14060003,14,39.00,ST,Yes,Southwest,False,True
09273200,DUCHESNE R BL LT DEER C NR HANNA UT,40.62216766,-110.8923904,UT,013,14060003,14060003,14,39.00,ST,Yes,Southwest,False,True
09273500,"HADES CREEK NEAR HANNA, UTAH",40.53605548,-110.8673873,UT,013,14060003,14060003,14,7.50,ST,Yes,Southwest,False,True
09274000,"DUCHESNE RIVER (N.FORK) NEAR HANNA, UTAH",40.53327767,-110.8673872,UT,013,14060003,14060003,14,78.00,ST,Yes,Southwest,False,True
09274900,"W.F. DUCHESNE RIV BEL VAT DIVERSION NR HANNA, UT",40.450223,-111.0043319,UT,051,14060003,14060003,14,40.0,ST,Yes,Southwest,False,True
09275000,"W F DUCHESNE RIVER BL DRY HOLLOW NR HANNA, UT",40.44855637,-110.9757204,UT,051,14060003,14060003,14,43.80,ST,Yes,Southwest,False,True
09275500,"WEST FORK DUCHESNE RIVER NEAR HANNA, UT",40.45022335,-110.8843304,UT,013,14060003,14060003,14,61.60,ST,Yes,Southwest,False,True
09276000,"WOLF CREEK ABOVE RHOADES CANYON NEAR HANNA, UT",40.4710558,-110.9187754,UT,051,14060003,14060003,14,10.60,ST,Yes,Southwest,False,True
09276500,WOLF CREEK NR HANNA UT,40.45272328,-110.8826638,UT,013,14060003,14060003,14,19.00,ST,Yes,Southwest,False,True
09276600,"W.F. DUCHESNE RIVER ABV NORTH FORK, NR HANNA, UT",40.46160295,-110.836866,UT,013,14060003,14060003,14,83,ST,Yes,Southwest,False,True
